UniqueID_v2,ni_total,nt_total,nt_ti_stenocold,nt_ti_cold,nt_ti_cool,nt_ti_warm,nt_ti_stenowarm,nt_ti_eury,nt_ti_cowa,nt_ti_na,nt_ti_stenocold_cold,nt_ti_stenocold_cold_cool,nt_ti_cowa_warm_stenowarm,nt_ti_warm_stenowarm,pi_ti_stenocold,pi_ti_cold,pi_ti_cool,pi_ti_warm,pi_ti_stenowarm,pi_ti_eury,pi_ti_cowa,pi_ti_na,pi_ti_stenocold_cold,pi_ti_stenocold_cold_cool,pi_ti_cowa_warm_stenowarm,pi_ti_warm_stenowarm,pt_ti_stenocold,pt_ti_cold,pt_ti_cool,pt_ti_warm,pt_ti_stenowarm,pt_ti_eury,pt_ti_cowa,pt_ti_na,pt_ti_stenocold_cold,pt_ti_stenocold_cold_cool,pt_ti_cowa_warm_stenowarm,pt_ti_warm_stenowarm
BDB-000026297_1,1027,46,1,6,17,6,0,11,5,0,7,24,11,6,1.752677702,3.505355404,22.20058423,1.265822785,0,60.95423564,10.32132425,0,5.258033106,27.45861733,11.58714703,1.265822785,2.173913043,13.04347826,36.95652174,13.04347826,0,23.91304348,10.86956522,0,15.2173913,52.17391304,23.91304348,13.04347826
BDB-000026303_1,980,47,0,2,12,13,0,12,6,2,2,14,19,13,0,0.204081633,18.36734694,11.93877551,0,53.67346939,13.87755102,1.93877551,0.204081633,18.57142857,25.81632653,11.93877551,0,4.255319149,25.53191489,27.65957447,0,25.53191489,12.76595745,4.255319149,4.255319149,29.78723404,40.42553191,27.65957447
BDB-000026311_1,240,20,0,0,2,8,1,5,2,2,0,2,11,9,0,0,2.083333333,73.33333333,0.416666667,17.91666667,5,1.25,0,2.083333333,78.75,73.75,0,0,10,40,5,25,10,10,0,10,55,45
BDB-000026321_1,1288,27,1,1,10,4,0,6,4,1,2,12,8,4,0.776397516,0.465838509,9.704968944,2.01863354,0,81.59937888,5.124223602,0.310559006,1.242236025,10.94720497,7.142857143,2.01863354,3.703703704,3.703703704,37.03703704,14.81481481,0,22.22222222,14.81481481,3.703703704,7.407407407,44.44444444,29.62962963,14.81481481
BDB-000026327_1,781,40,0,0,12,13,0,10,4,1,0,12,17,13,0,0,4.993597951,52.62483995,0,21.25480154,20.87067862,0.256081946,0,4.993597951,73.49551857,52.62483995,0,0,30,32.5,0,25,10,2.5,0,30,42.5,32.5
BDB-000026337_1,557,23,0,1,6,6,0,7,3,0,1,7,9,6,0,0.179533214,16.15798923,12.02872531,0,65.52962298,6.104129264,0,0.179533214,16.33752244,18.13285458,12.02872531,0,4.347826087,26.08695652,26.08695652,0,30.43478261,13.04347826,0,4.347826087,30.43478261,39.13043478,26.08695652
BDB-000026797_1,350,21,0,0,0,8,6,5,2,0,0,0,16,14,0,0,0,48,16.57142857,22,13.42857143,0,0,0,78,64.57142857,0,0,0,38.0952381,28.57142857,23.80952381,9.523809524,0,0,0,76.19047619,66.66666667
BDB-000026803_1,160,23,0,1,1,10,0,7,4,0,1,2,14,10,0,0.625,0.625,27.5,0,64.375,6.875,0,0.625,1.25,34.375,27.5,0,4.347826087,4.347826087,43.47826087,0,30.43478261,17.39130435,0,4.347826087,8.695652174,60.86956522,43.47826087
BDB-000026816_1,520,31,0,2,11,5,0,11,2,0,2,13,7,5,0,0.384615385,22.30769231,5.769230769,0,67.11538462,4.423076923,0,0.384615385,22.69230769,10.19230769,5.769230769,0,6.451612903,35.48387097,16.12903226,0,35.48387097,6.451612903,0,6.451612903,41.93548387,22.58064516,16.12903226
BDB-000026817_1,229,28,1,4,10,2,0,8,1,2,5,15,3,2,4.80349345,4.80349345,50.65502183,1.310043668,0,36.68122271,0.873362445,0.873362445,9.6069869,60.26200873,2.183406114,1.310043668,3.571428571,14.28571429,35.71428571,7.142857143,0,28.57142857,3.571428571,7.142857143,17.85714286,53.57142857,10.71428571,7.142857143
BDB-000026820_1,214,28,0,0,6,8,0,10,3,1,0,6,11,8,0,0,5.140186916,19.62616822,0,54.6728972,20.09345794,0.46728972,0,5.140186916,39.71962617,19.62616822,0,0,21.42857143,28.57142857,0,35.71428571,10.71428571,3.571428571,0,21.42857143,39.28571429,28.57142857
BDB-000026823_1,300,18,0,0,1,7,2,5,2,1,0,1,11,9,0,0,0.333333333,25.33333333,1,32.33333333,30,11,0,0.333333333,56.33333333,26.33333333,0,0,5.555555556,38.88888889,11.11111111,27.77777778,11.11111111,5.555555556,0,5.555555556,61.11111111,50
BDB-000027010_1,341,34,0,0,5,15,2,9,3,0,0,5,20,17,0,0,4.105571848,62.17008798,6.744868035,25.21994135,1.759530792,0,0,4.105571848,70.6744868,68.91495601,0,0,14.70588235,44.11764706,5.882352941,26.47058824,8.823529412,0,0,14.70588235,58.82352941,50
BDB-000028669_1,634,26,0,0,0,15,3,7,1,0,0,0,19,18,0,0,0,24.92113565,4.889589905,67.98107256,2.208201893,0,0,0,32.01892744,29.81072555,0,0,0,57.69230769,11.53846154,26.92307692,3.846153846,0,0,0,73.07692308,69.23076923
BDB-000028670_1,1608,39,0,0,1,18,10,7,2,1,0,1,30,28,0,0,0.062189055,62.81094527,9.390547264,24.56467662,2.922885572,0.248756219,0,0.062189055,75.12437811,72.20149254,0,0,2.564102564,46.15384615,25.64102564,17.94871795,5.128205128,2.564102564,0,2.564102564,76.92307692,71.79487179
BDB-000028671_1,1014,33,0,0,2,17,3,9,1,1,0,2,21,20,0,0,0.986193294,48.12623274,4.339250493,46.35108481,0.098619329,0.098619329,0,0.986193294,52.56410256,52.46548323,0,0,6.060606061,51.51515152,9.090909091,27.27272727,3.03030303,3.03030303,0,6.060606061,63.63636364,60.60606061
BDB-000028672_1,574,24,0,0,0,14,4,3,2,1,0,0,20,18,0,0,0,50,17.59581882,28.22299652,1.742160279,2.43902439,0,0,69.33797909,67.59581882,0,0,0,58.33333333,16.66666667,12.5,8.333333333,4.166666667,0,0,83.33333333,75
BDB-000028673_1,1135,39,0,0,0,23,7,5,2,2,0,0,32,30,0,0,0,31.62995595,15.85903084,36.03524229,13.83259912,2.643171806,0,0,61.3215859,47.48898678,0,0,0,58.97435897,17.94871795,12.82051282,5.128205128,5.128205128,0,0,82.05128205,76.92307692
