UniqueID_v2,sampleID_agency,siteID,lat,long,Date,PCT_FN,ni_total_v2,TotRich,Dataset,COMMENTS,COMID
SampOD_5001_1,07032OPR,34477-ORDEQ,41.96302653,-123.1884554,8/21/2007,0.95238,500,52,M,,
SampOD_5002_1,00025CSR,23844-ORDEQ,41.97522828,-123.0660325,7/11/2000,0,529,43,M,,
SampOD_5003_1,07040OPR,34476-ORDEQ,41.98351092,-123.0622012,9/26/2007,2.72727,568,53,M,,
SampWA_5384_1,WAM06600-003492-DCE-2009-0813-09:15,WAM06600-003492,48.151823,-123.832503,8/13/2009,6.578947368,528,43,M,,
SampWA_5380_1,RSM06600-003422-DCE-2015-0902-15:33,RSM06600-003422,47.183278,-123.02348,9/2/2015,19.04761905,250,42,M,,
SampOD_5066_1,00004WSE,24415-ORDEQ,42.23752163,-120.5765982,8/22/2000,11.2,511,65,M,,7915709
SampWA_6177_1,BIO06600-PRIE15-DCE-2011-0824-09:05,BIO06600-PRIE15,48.54862,-117.10509,8/24/2011,14.28571429,547,63,M,,22989089
SampWA_6145_1,BIO06600-NGOO15-DCE-2018-0904-09:18,BIO06600-NGOO15,48.42512,-117.06072,9/4/2018,16.88311688,533,69,M,,22989813
SampWA_5359_1,WAM06600-003112-DCE-2018-0708-08:32,WAM06600-003112,48.31384767,-117.0367602,7/8/2018,16.88311688,556,58,M,,22990403
SampWA_6114_1,BIO06600-LOST15-DCE-2017-0912-09:11,BIO06600-LOST15,48.64396,-117.43632,9/12/2017,6.060606061,546,71,M,,22994811
SampWA_5771_1,WAM06600-020012-DCE-2012-0709-11:30,WAM06600-020012,48.4383733,-117.3355651,7/9/2012,6.926406926,502,50,M,,22994897
SampWA_5588_1,WAM06600-007992-DCE-2012-0825-09:15,WAM06600-007992,48.39283434,-117.3216758,8/25/2012,28.57142857,544,55,M,,22994933
SampWA_5296_1,WAM06600-002088-DCE-2012-0708-10:25,WAM06600-002088,48.32331466,-117.3230886,7/8/2012,64.93506494,565,34,M,,22994999
SampWA_5818_1,WAM06600-026552-DCE-2018-0804-10:30,WAM06600-026552,48.29672,-117.38674,8/4/2018,20.77922078,518,62,M,,22995051
SampWA_5542_1,WAM06600-006552-DCE-2012-0702-09:30,WAM06600-006552,48.28518638,-117.4600512,7/2/2012,18.61471861,507,53,M,,22995097
SampWA_5387_1,WAM06600-003560-DCE-2018-0805-08:55,WAM06600-003560,48.3604548,-117.200561,8/5/2018,7.359307359,578,49,M,,22995195
SampWA_5643_1,WAM06600-010088-DCE-2012-0826-15:20,WAM06600-010088,48.3448102,-117.2371418,8/26/2012,9.090909091,173,31,M,,22995215
SampWA_5695_1,WAM06600-012972-DCE-2018-0807-09:30,WAM06600-012972,48.58378,-117.29512,8/7/2018,29.43722944,579,57,M,,22995285
SampWA_5777_1,WAM06600-020656-DCE-2018-0803-09:15,WAM06600-020656,48.70438,-117.17892,8/3/2018,8.225108225,550,56,M,,22995355
SampWA_6237_1,SEN06600-SULL20-DCE-2014-0716-10:23,SEN06600-SULL20,48.86078,-117.32723,7/16/2014,14.71861472,539,56,M,,22995397
SampWA_6325_1,BIO06600-USLA15-DCE-2018-0807-08:18,BIO06600-USLA15,48.95702,-117.24484,8/7/2018,12.98701299,551,47,M,,22995411
SampWA_5726_1,WAM06600-015836-DCE-2018-0808-10:00,WAM06600-015836,48.5417839,-117.2185533,8/8/2018,12.12121212,537,64,M,,22995505
SampWA_6252_1,BIO06600-SWEE15-DCE-2018-0806-10:42,BIO06600-SWEE15,48.824346,-117.409832,8/6/2018,6.060606061,465,65,M,,22995597
SampWA_6131_1,BIO06600-MFLU15-DCE-2019-0715-09:51,BIO06600-MFLU15,48.90281,-117.3856,7/15/2019,6.926406926,554,57,M,,22995787
SampWA_5423_1,WAM06600-003932-DCE-2018-0711-08:36,WAM06600-003932,48.52153883,-117.2719925,7/11/2018,17.74891775,522,48,M,,22996271
SampWA_5712_1,WAM06600-014620-DCE-2018-0709-09:33,WAM06600-014620,48.50228,-117.19854,7/9/2018,29.87012987,550,50,M,,22996305
