Taxon_Group,Taxon_orig,NonTarget,Changed,Rationale,OTU_BSTI.v2,OTU_MTTI,OTU_level,OTU_MetricCalc,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Other Non-Insect,Batracobdella,FALSE,yes,,Hirudinida,Hirudinida,subclass,Erpobdella,Erpobdella,69444,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,
Other Non-Insect,Erpobdella,FALSE,no,,Hirudinida,Hirudinida,subclass,Erpobdella,Erpobdella,69444,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,
Other Non-Insect,Erpobdella punctata,FALSE,yes,,Hirudinida,Hirudinida,subclass,Erpobdella,Erpobdella,69444,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,
Other Non-Insect,Erpobdellidae,FALSE,yes,,Hirudinida,Hirudinida,subclass,Erpobdella,Erpobdella,69444,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,
Other Non-Insect,Mooreobdella,FALSE,yes,,Hirudinida,Hirudinida,subclass,Erpobdella,Erpobdella,69444,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,
Other Non-Insect,Myzobdella,FALSE,yes,,Hirudinida,Hirudinida,subclass,Erpobdella,Erpobdella,69444,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,
Other Non-Insect,Dina,FALSE,yes,Invalid Jr. syn of Erpobdella,Hirudinida,Hirudinida,subclass,Erpobdella,Erpobdella,69439,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,,,,Dina,,,,,
Other Non-Insect,Haemopis,FALSE,no,,Hirudinida,Hirudinida,subclass,Haemopis,Haemopis,69408,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Hirudiniformes,,Haemopidae,Haemopinae,,,Haemopis,,,,,
Other Non-Insect,Haemopis grandis,FALSE,yes,,Hirudinida,Hirudinida,subclass,Haemopis,Haemopis,69408,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Hirudiniformes,,Haemopidae,Haemopinae,,,Haemopis,,,,,
Other Non-Insect,Arhynchobdellida,FALSE,no,,Hirudinida,Hirudinida,subclass,Arhynchobdellida,Arhynchobdellida,568835,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,,,,,,,,,,,
Other Non-Insect,Glossiphonia,FALSE,no,,Hirudinida,Hirudinida,subclass,Glossiphonia,Glossiphonia,69380,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Glossiphoniinae,,,Glossiphonia,,,,,
Other Non-Insect,Glossiphonia complanata,FALSE,yes,,Hirudinida,Hirudinida,subclass,Glossiphonia,Glossiphonia,69380,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Glossiphoniinae,,,Glossiphonia,,,,,
