Predictor,Group,OTU_Label,OTU,OTU_high.res,OTU_low.res,OTU_med.res,OTU_comment,nOcc,Waopt,LowOcc,ProbLT10,Watol,WA_MinusTol,WA_PlusTol,ValueProb10_min,ValueProb10_max,ValueProb20_min,ValueProb20_max,WA_Rank,GAM,GAM_Rank,CurveShape,GAM_Extreme,LargeUncertainty,Ubiquitous,LowConf,Rank,Phylum,Class,Order,Family,Subfamily,Tribe,Genus,Flag,ThermPref_JS3,ThermHiLo_JS,Therm_SH2,Therm_TITAN
WaterTemp_MWMT_93_11_C,Amphipoda,Americorophium,Americorophium,666,666,666,,14,19.57452218,1,1,4.667525373,14.90699681,24.24204756,NA,NA,NA,NA,543.5,24.6,603.5,*Unimodal,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Amphipoda,_Amphipoda,Amphipoda,666,666,666,,645,21.10375472,0,0,3.463641208,17.64011351,24.56739593,16.6,30.8,19.2,30.8,668,30.8,780,*Increaser,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Amphipoda,Anisogammaridae,Anisogammaridae,Anisogammaridae,Anisogammaridae,Anisogammaridae,"could change to Ramellogammarus, looks better taxonomically but only lose a couple of observations",47,19.87643358,0,1,1.858359954,18.01807362,21.73479353,NA,NA,NA,NA,566,21.9,527,*Unimodal,0,0,0,1,Family,Arthropoda,Malacostraca,Amphipoda,Anisogammaridae,,,,LowProbOcc,cool,,cool/warm,
WaterTemp_MWMT_93_11_C,Amphipoda,Corophiidae,Corophiidae,666,666,666,,14,19.57452218,1,1,4.667525373,14.90699681,24.24204756,NA,NA,NA,NA,543.5,24.6,603.5,*Unimodal,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Amphipoda,Crangonyctidae,Crangonyctidae,Crangonyctidae,Crangonyctidae,Crangonyctidae,could change to Crangonyx looks better taxonomically but only lose 11 observations,323,19.89010574,0,0,2.824351788,17.06575395,22.71445753,17.5,30.8,NA,NA,568,24.5,599,Unimodal/Increaser,0,0,0,0,Family,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,,,,warm,,"warm--on cool/warm threshold for WA, but pretty clearly a warm water taxon when include GAM as other info",
WaterTemp_MWMT_93_11_C,Amphipoda,Crangonyx,Crangonyx,Crangonyctidae,Crangonyctidae,Crangonyctidae,,312,19.89474528,0,0,2.828882812,17.06586247,22.72362809,17.7,30.8,NA,NA,569,24.5,599,Unimodal/Increaser,0,0,0,0,Genus,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,,Crangonyx,,warm,,"warm--on cool/warm threshold for WA, but pretty clearly a warm water taxon when include GAM as other info",Increaser
WaterTemp_MWMT_93_11_C,Amphipoda,Gammaridae,Gammaridae,Gammaridae,Gammaridae,Gammaridae,"same as above, genera is only 1 less observation",126,21.55107233,0,0,2.845556087,18.70551624,24.39662842,23.5,27.4,NA,NA,702,25.4,625.5,*Unimodal,0,0,0,0,Family,Arthropoda,Malacostraca,Amphipoda,Gammaridae,,,,,warm,,warm,
WaterTemp_MWMT_93_11_C,Amphipoda,Gammaridea,Gammaridea,666,666,666,,591,21.16323994,0,0,3.489668206,17.67357174,24.65290815,16.8,30.8,19.9,30.8,673,30.8,780,*Increaser,1,1,0,0,Suborder,Arthropoda,Malacostraca,Amphipoda,,,,,,cool,,warm is a fine designation,
WaterTemp_MWMT_93_11_C,Amphipoda,Gammarus,Gammarus,Gammaridae,Gammaridae,Gammaridae,,125,21.55572118,0,0,2.837650556,18.71807062,24.39337173,23.5,27.4,NA,NA,703,25.4,625.5,Unimodal/Increaser,0,0,0,0,Genus,Arthropoda,Malacostraca,Amphipoda,Gammaridae,,,Gammarus,,warm,,warm,
WaterTemp_MWMT_93_11_C,Amphipoda,Hyalella,Hyalella,Hyalella,Hyalella,Hyalella,,176,24.4632514,0,0,3.831050125,20.63220128,28.29430153,22.8,30.8,24.9,30.8,822.5,30.8,780,*Increaser,1,0,0,0,Genus,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,,,Hyalella,,warm,hot,warm--this is bordering on a new category of hot,
