TaxaID_v2,OTU,OTU_high.res,OTU_low.res,OTU_med.res,OTU_comment,nOcc,WAopt,Flag,ThermPref_JS3,ThermHiLo_JS,Therm_SH2,Therm_TITAN,WAtol,CurveShape,WA_MinusTol,WA_PlusTol,GAM,ValueProb10_min,ValueProb10_max,ValueProb20_min,ValueProb20_max,WA_Rank,GAM_Rank,Ubiquitous,Comment,RAW_DATA_OCCUR,RAI_TAXON,Taxon_Group,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Erpobdella,Erpobdella,Hirudinida,Hirudinida,Hirudinida,leeches,64,22.50882329,,warm,,warm+,,3.487625405,*Increaser,19.02119789,25.9964487,30.8,27.2,30.8,30.7,30.8,748.5,780,0,,64,Erpobdella,Other Non-Insect,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,
Arhynchobdellida,Hirudinea,Hirudinida,Hirudinida,Hirudinida,all leaches with virtually same optima,127,21.6298567,,warm,,warm+,,3.392064,*Increaser,18.2377927,25.0219207,30.8,24.7,30.8,29.2,30.8,710,780,0,,1,Arhynchobdellida,Other Non-Insect,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,,,,,,,,,,,
Glossiphonia,Glossiphoniidae,Hirudinida,Hirudinida,Hirudinida,leeches,56,21.60983892,,warm,,warm+,,3.373409158,*Increaser,18.23642977,24.98324808,30.8,29.4,30.8,NA,NA,708,780,0,,9,Glossiphonia,Other Non-Insect,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Glossiphoniinae,,,Glossiphonia,,,,,
Helobdella,Helobdella,Hirudinida,Hirudinida,Hirudinida,leeches,40,21.81742655,LowProbOcc,warm,,warm+,,3.252881321,*Increaser,18.56454523,25.07030787,30.8,NA,NA,NA,NA,717,780,0,,40,Helobdella,Other Non-Insect,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,
Glossiphoniidae,Glossiphoniidae,Hirudinida,Hirudinida,Hirudinida,leeches,56,21.60983892,,warm,,warm+,,3.373409158,*Increaser,18.23642977,24.98324808,30.8,29.4,30.8,NA,NA,708,780,0,,15,Glossiphoniidae,Other Non-Insect,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,,,,,,,,,
Cystobranchus salmositicus,Hirudinea,Hirudinida,Hirudinida,Hirudinida,all leaches with virtually same optima,127,21.6298567,,warm,,warm+,,3.392064,*Increaser,18.2377927,25.0219207,30.8,24.7,30.8,29.2,30.8,710,780,0,,11,Cystobranchus salmositicus,Other Non-Insect,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,Piscicolinae,,,Cystobranchus,,,,,salmositicus
Piscicolidae,Hirudinea,Hirudinida,Hirudinida,Hirudinida,all leaches with virtually same optima,127,21.6298567,,warm,,warm+,,3.392064,*Increaser,18.2377927,25.0219207,30.8,24.7,30.8,29.2,30.8,710,780,0,,6,Piscicolidae,Other Non-Insect,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,,,,,,,,,
NA,Rhynchobdellida,Hirudinida,Hirudinida,Hirudinida,leeches,67,21.24679738,,warm,,warm+,,3.432372009,*Increaser,17.81442537,24.67916939,30.8,30.4,30.8,NA,NA,681,780,0,PRODUCT OF ROLLING TAXONOMY,0,Rhynchobdellida,Other Non-Insect,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,,,,,,,,,,
Hirudinea,Hirudinea,Hirudinida,Hirudinida,Hirudinida,all leaches with virtually same optima,127,21.6298567,,warm,,warm+,,3.392064,*Increaser,18.2377927,25.0219207,30.8,24.7,30.8,29.2,30.8,710,780,0,,7,Hirudinea,Other Non-Insect,Animalia,Annelida,,Clitellata,Hirudinea,,,,,,,,,,,,,
Branchiobdellida,Branchiobdellida,Branchiobdellida,Branchiobdellida,Branchiobdellida,,42,19.3843112,LowProbOcc,cool,,cool/warm,,3.046369445,Flat,16.33794176,22.43068065,23.7,NA,NA,NA,NA,518,571,0,,42,Branchiobdellida,Other Non-Insect,Animalia,Annelida,,Clitellata,Lumbriculata,Branchiobdellida,,,,,,,,,,,,
Achaeta,Enchytraeidae,Enchytraeidae,Oligochaeta,Enchytraeidae,,748,16.61176178,,eurythermal,,don't use,,3.522543203,*Unimodal,13.08921858,20.13430499,16.1,8.6,30.8,13.5,19.3,225,280,0,,1,Achaeta,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Achaeta,,,,,
