Use,old_calval,SourceEntity,lab,UniqueID_v2,lat,long,siteid,waterbody_name,Year,Month,CollDate,daynum,CollMeth,Freq,SameYr_SameDay2,SameYr_DiftDay2,MultipleYrs,Unit_OBSPRED_final,MWMT_TolAnal,MWMT_source,MWMT_93_11,MWMT_Annual,Aug_93_11,NORWEST_Unit,Ecoregion_name,eco3,L4_eco_code,L4_eco_name,slope_nhd,wsarea_km2,elev_m,ElevWs,ICI,IWI,PctUrbCat,PctUrbWs,PctAgCat,PctAgWs,PctForCat,PctForWs,RdDensCat,RdDensWs,Tmean8110Cat,Tmean8110Ws,Precip8110Cat,Precip8110Ws
Y,NOT_CALVAL,USGS,USGS,BDB-000025262_1,47.40310202,-121.8992237,USGS_153,"ROCK CREEK AT CEDAR FALLS ROAD NEAR LANDSBURG, WA",1997,8,8/13/1997 0:00,225,targeted riffle,multi,,,USGS_153,WACoast_112738,17.14,annual,17.34,17.14,13.85,WACoast,Puget Lowland,PL,2e,Eastern Puget Uplands,2.737455,12.8943,292.8275168,404.0370503,0.899771086,0.854984097,0.074730437,0.048858798,0,0,87.52001708,89.04166958,1.765935816,1.704658444,9.570951031,9.02209464,1705.22638,1928.954469
Y,NOT_CALVAL,USGS,USGS,BDB-000026293_1,47.18177905,-121.3887037,USGS_157,"GREEN RIVER ABOVE TWIN CAMP CREEK NEAR LESTER, WA",1996,8,8/27/1996 0:00,240,targeted riffle,multi,,USGS_157__1996,USGS_157,WACoast_108976,15.48,annual,15.15,15.48,11.2,WACoast,Cascades,CA,4a,Western Cascades Lowlands and Valleys,2.514919,42.8517,786.680797,1157.748586,0.85656204,0.868410556,0,0.621678953,0,0,82.94717331,73.70045996,2.909270533,2.454848216,6.52591464,5.307700511,1581.058781,1924.742257
Y,NOT_CALVAL,USGS,USGS,BDB-000026295_1,47.18177905,-121.3887037,USGS_157,"GREEN RIVER ABOVE TWIN CAMP CREEK NEAR LESTER, WA",1996,8,8/28/1996 0:00,241,targeted riffle,multi,USGS_157__1996-08-28,USGS_157__1996,USGS_157,WACoast_108976,15.48,annual,15.15,15.48,11.2,WACoast,Cascades,CA,4a,Western Cascades Lowlands and Valleys,2.514919,42.8517,786.680797,1157.748586,0.85656204,0.868410556,0,0.621678953,0,0,82.94717331,73.70045996,2.909270533,2.454848216,6.52591464,5.307700511,1581.058781,1924.742257
Y,CAL,USGS,USGS,BDB-000026297_1,47.18177905,-121.3887037,USGS_157,"GREEN RIVER ABOVE TWIN CAMP CREEK NEAR LESTER, WA",1996,8,8/28/1996 0:00,241,targeted riffle,multi,USGS_157__1996-08-28,USGS_157__1996,USGS_157,WACoast_108976,15.48,annual,15.15,15.48,11.2,WACoast,Cascades,CA,4a,Western Cascades Lowlands and Valleys,2.51E+00,42.8517,786.680797,1157.748586,0.85656204,0.868410556,0,0.621678953,0,0,82.94717331,73.70045996,2.909270533,2.454848216,6.52591464,5.307700511,1581.058781,1924.742257
Y,NOT_CALVAL,USGS,USGS,BDB-000026299_1,47.27565642,-122.059559,USGS_140,"NEWAUKUM CREEK NEAR BLACK DIAMOND, WA",1996,8,8/21/1996 0:00,234,targeted riffle,multi,USGS_140__1996-08-21,USGS_140__1996,USGS_140,WACoast_110748,18.13,annual,17.8,18.13,14.08,WACoast,Puget Lowland,PL,2b,Eastern Puget Riverine Lowlands,1.86768,78.7239,163.9236485,258.0762225,0.421780516,0.305236978,11.35151156,15.19017732,23.45880261,33.63171794,46.23592175,27.22845286,3.220718442,3.843561904,10.59435786,10.01041708,1166.462515,1337.645618
Y,NOT_CALVAL,USGS,USGS,BDB-000026301_1,47.27565642,-122.059559,USGS_140,"NEWAUKUM CREEK NEAR BLACK DIAMOND, WA",1996,8,8/21/1996 0:00,234,targeted riffle,multi,USGS_140__1996-08-21,USGS_140__1996,USGS_140,WACoast_110748,18.13,annual,17.8,18.13,14.08,WACoast,Puget Lowland,PL,2b,Eastern Puget Riverine Lowlands,1.86768,78.7239,163.9236485,258.0762225,0.421780516,0.305236978,11.35151156,15.19017732,23.45880261,33.63171794,46.23592175,27.22845286,3.220718442,3.843561904,10.59435786,10.01041708,1166.462515,1337.645618
Y,CAL,USGS,USGS,BDB-000026303_1,47.27565642,-122.059559,USGS_140,"NEWAUKUM CREEK NEAR BLACK DIAMOND, WA",1996,8,8/22/1996 0:00,235,targeted riffle,multi,,USGS_140__1996,USGS_140,WACoast_110748,18.13,annual,17.8,18.13,14.08,WACoast,Puget Lowland,PL,2b,Eastern Puget Riverine Lowlands,1.86768,78.7239,163.9236485,258.0762225,0.421780516,0.305236978,11.35151156,15.19017732,23.45880261,33.63171794,46.23592175,27.22845286,3.220718442,3.843561904,10.59435786,10.01041708,1166.462515,1337.645618
Y,NOT_CALVAL,USGS,USGS,BDB-000026305_1,47.31232289,-122.165396,USGS_134,"BIG SOOS CREEK ABOVE HATCHERY NEAR AUBURN, WA",1996,8,8/14/1996 0:00,227,targeted riffle,multi,USGS_134__1996-08-14,USGS_134__1996,USGS_134,WACoast_111631,19.24,annual,18.91,19.24,14.45,WACoast,Puget Lowland,PL,2e,Eastern Puget Uplands,0.405693,211.0851,98.27139005,166.3079809,0.680115869,0.564141703,33.26024995,29.16785694,0.526200395,2.419213862,30.38807279,33.24990726,5.349597717,5.810727014,10.97646086,10.51024862,1085.098177,1275.307763
Y,NOT_CALVAL,USGS,USGS,BDB-000026307_1,47.31232289,-122.165396,USGS_134,"BIG SOOS CREEK ABOVE HATCHERY NEAR AUBURN, WA",1996,8,8/14/1996 0:00,227,targeted riffle,multi,USGS_134__1996-08-14,USGS_134__1996,USGS_134,WACoast_111631,19.24,annual,18.91,19.24,14.45,WACoast,Puget Lowland,PL,2e,Eastern Puget Uplands,0.405693,211.0851,98.27139005,166.3079809,0.680115869,0.564141703,33.26024995,29.16785694,0.526200395,2.419213862,30.38807279,33.24990726,5.349597717,5.810727014,10.97646086,10.51024862,1085.098177,1275.307763
Y,NOT_CALVAL,USGS,USGS,BDB-000026309_1,47.31232289,-122.165396,USGS_134,"BIG SOOS CREEK ABOVE HATCHERY NEAR AUBURN, WA",1996,8,8/15/1996 0:00,228,targeted riffle,multi,,USGS_134__1996,USGS_134,WACoast_111631,19.24,annual,18.91,19.24,14.45,WACoast,Puget Lowland,PL,2e,Eastern Puget Uplands,0.405693,211.0851,98.27139005,166.3079809,0.680115869,0.564141703,33.26024995,29.16785694,0.526200395,2.419213862,30.38807279,33.24990726,5.349597717,5.810727014,10.97646086,10.51024862,1085.098177,1275.307763
