site.id,cal.val,MWMT_final,eco3,lat,long,slope_nhd,ws.area_km2,elev_m,IWI,PctForCat,PctForWs
WWAP99-0517,primary,16.15,Coast Range,48.08744,-124.59939,1.274449,2.5443,80.76471878,0.854630629,93.1376017,93.1376017
WAECY_0538,primary,17.45,Coast Range,47.97025,-124.58839,0.690451,18.153,78.27881809,0.827594506,83.05264755,80.47595439
WAECY_0554,primary,16.52,Coast Range,48.050203,-124.579472,1.426386,6.6546,95.72851231,0.80109016,92.62915878,92.62915878
PSSB_0001,primary,15.73,Coast Range,47.9556,-124.559949,1.116046,14.9481,52.75399659,0.680598617,44.28188247,63.56192426
WAECY_0542,primary,20.24,Coast Range,48.0122,-124.553961,0.001,100.8198,49.25692669,0.794859103,34.38559875,63.93833354
WAECY_0609,primary,15.71,Coast Range,48.345546,-124.55309,5.927787,3.7647,141.4437126,0.852690089,26.29691609,26.29691609
PSSB_0002,primary,20.16,Coast Range,47.984816,-124.550737,0.258823,110.1474,62.58632304,0.795229771,80.02014775,65.22232935
WAECY_0516,primary,17,Coast Range,47.877427,-124.549858,0.562033,6.8418,44.40746251,0.887812357,92.1994212,92.1994212
USU_0005,primary,24.11,Coast Range,42.84033,-124.52307,0.073687,343.476,37.17197763,0.770408543,38.49571078,64.85745729
USU_0008,primary,22.93,Coast Range,42.8783,-124.4925,0.42158,8.3961,28.702331,0.609250783,51.56695157,51.19519777
USU_0009,primary,22.85,Coast Range,42.9308,-124.4859,0.049019,3.3057,3.162900763,0.871121889,0,8.766675742
USU_0010,primary,24.06,Coast Range,42.82023,-124.48581,0.001,333.8946,12.90486301,0.81151801,10.0456621,65.82451468
ORDEQ_0129,primary,20.23,Coast Range,42.86192168,-124.4804022,5.866237,4.9212,100.9990764,0.83494788,50.93269934,50.93269934
USU_0011,primary,24.53,Coast Range,42.9119,-124.4801,0.498282,163.683,196.3927202,0.811832456,42.50528417,52.61010612
USU_0012,primary,21.54,Coast Range,42.78523,-124.47958,0.221843,219.0978,32.3510219,0.805464181,18.24817518,89.71459321
USU_0013,primary,22.53,Coast Range,42.90447,-124.47546,3.543184,18.3771,169.2301251,0.841531725,35.75927222,49.12581419
PSSB_0004,primary,17.43,Coast Range,48.013779,-124.471004,0.832764,19.6551,122.8103239,0.811209471,84.56317269,79.08787032
ORDEQ_0142,primary,24.32,Coast Range,42.91489118,-124.4634049,0.498282,163.683,196.3927202,0.811832456,42.50528417,52.61010612
USU_0014,primary,17,Coast Range,42.78056,-124.4625,2.836084,3.0906,104.1444607,0.863614712,86.68442077,88.38089691
USU_0015,primary,21.57,Coast Range,42.76988,-124.4606,0.17837,212.2038,94.77122896,0.807777326,55.9043548,90.62354209
USU_0016,primary,21.97,Coast Range,42.95075,-124.45693,4.148475,7.3845,169.8701682,0.859827114,33.39427179,33.39427179
USU_0017,primary,20.4,Coast Range,42.95571,-124.45456,2.137626,5.2776,102.2528155,0.909167895,36.56207367,36.56207367
WWAP99-0639,primary,17.63,Coast Range,48.025278,-124.443333,0.501709,49.8582,155.2080171,0.830312475,78.99945359,68.89057367
USU_0019,primary,22.48,Coast Range,43.0004,-124.4421,0.324801,47.8557,49.59721934,0.836657362,40.42748092,42.02508792
ORDEQ_0091,primary,17.46,Coast Range,42.69625387,-124.4315742,7.706217,2.3184,202.2308036,0.907232877,85.0931677,85.0931677
USU_0021,primary,24.05,Coast Range,42.91317,-124.42547,0.498282,163.683,196.3927202,0.811832456,42.50528417,52.61010612
PSSB_0007,primary,18.26,Coast Range,47.928558,-124.423843,0.244076,328.9977,73.04522485,0.799354867,44.81262327,88.62791442
ORDEQ_0119,primary,22.66,Coast Range,42.81164473,-124.4199737,0.375216,254.2662,73.67251846,0.836562011,53.56849877,68.90251241
WAECY_0532,primary,19.83,Coast Range,47.954,-124.417002,0.369996,346.0239,97.16344555,0.776532478,34.04019711,87.54366389
ORDEQ_0140,primary,23.26,Coast Range,42.9124,-124.4146,0.498282,163.683,196.3927202,0.811832456,42.50528417,52.61010612
WAECY_0561,primary,17.54,Coast Range,48.07079,-124.414495,0.686059,18.6543,116.3784551,0.827765573,27.90419162,59.05823322
USU_0022,primary,22.73,Coast Range,42.81584,-124.41353,0.109318,290.2464,147.3376974,0.838816094,73.66003063,67.7316928
USU_0023,primary,19.52,Coast Range,42.81509,-124.4105,2.365665,27.7524,297.3687766,0.884200883,56.09969647,55.24711376
WAECY_0527,primary,17.4,Coast Range,47.934658,-124.406066,1.461472,9.1332,107.8652244,0.616144546,32.60213323,65.07686244
USU_0025,primary,22.48,Coast Range,42.80542,-124.40574,0.070624,210.8304,140.8715686,0.872347789,81.54851684,64.27370057
WAECY_0506,primary,16.13,Coast Range,47.8158,-124.40184,3.837482,3.8016,208.2462027,0.905264643,85.22727273,85.22727273
USU_0027,primary,19.42,Coast Range,42.7367,-124.3992,0.475405,183.1401,294.690168,0.888904543,94.29223744,93.01092442
ORDEQ_0097,primary,22.39,Coast Range,42.74012054,-124.3988001,6.651405,6.9237,359.6802058,0.870362289,97.87133396,95.91836735
WAECY_0523,primary,18.07,Coast Range,47.903133,-124.395891,0.232792,309.0366,115.8418834,0.836459013,61.39297848,90.36881068
ORRF-0113,primary,22.58,Coast Range,42.80640485,-124.3893986,0.121982,205.0722,171.4978125,0.871902688,58.70967742,63.70458795
PSSB_0013,primary,16.23,Coast Range,48.137861,-124.385083,0.001,45.7992,87.99761905,0.775422074,61.9047619,49.36330766
USU_0029,primary,17.84,Coast Range,42.71878,-124.3839,2.465212,27.2502,199.2441965,0.892281392,93.93939394,89.56998481
ORDEQ_0118,primary,22.21,Coast Range,42.80810529,-124.3837238,0.121982,205.0722,171.4978125,0.871902688,58.70967742,63.70458795
WAECY_0549,primary,19.65,Coast Range,48.034475,-124.38268,0.001,495.6129,134.6826715,0.838038718,69.59459459,83.883773
PSSB_0014,primary,16.41,Coast Range,47.939195,-124.380572,1.461472,9.1332,107.8652244,0.616144546,32.60213323,65.07686244
WAECY_0536,primary,19.84,Coast Range,47.968744,-124.378836,0.369996,346.0239,97.16344555,0.776532478,34.04019711,87.54366389
WAECY_0521,primary,18.11,Coast Range,47.892632,-124.362469,0.341428,291.7521,112.7798407,0.85264424,58.73841652,91.24592419
WAECY_0455,primary,15.19,Coast Range,47.619722,-124.353291,0.373822,25.8561,76.99397558,0.886222407,85.78228477,84.47909778
PSSB_0017,primary,17.34,Coast Range,47.95952,-124.35262,2.239144,14.9004,255.0558559,0.761329146,94.28001933,94.28001933
ORDEQ_0207,primary,19.2,Coast Range,43.20371917,-124.349303,0.548553,8.9289,48.29940571,0.827877389,49.12836767,53.23052112
FW08OR054,primary,21.25,Coast Range,42.46828279,-124.3453411,0.089229,13296.4407,168.5353181,0.747644843,67.13316982,66.59707511
ORDEQ_0144,primary,22.43,Coast Range,42.91632536,-124.3427793,0.870141,131.4432,234.927592,0.894418684,41.20017425,54.97918493
ORDEQ_0180,primary,19.44,Coast Range,43.06167953,-124.341035,1.332221,14.0427,155.1831159,0.868784524,36.4376825,36.82625136
PSSB_0018,primary,16.77,Coast Range,47.952688,-124.339194,2.239144,14.9004,255.0558559,0.761329146,94.28001933,94.28001933
ORDEQ_0241,primary,18.87,Coast Range,43.27389488,-124.334306,3.174757,2.5722,97.00684045,0.89777805,34.95451365,34.95451365
ORDEQ_0162,primary,19.91,Coast Range,42.9864926,-124.3320658,1.018801,19.3266,179.8195345,0.863627084,54.98946211,52.98034833
WAECY_0432,primary,16.28,Coast Range,47.530734,-124.33106,0.768126,2.6946,19.28079295,0.794520849,56.16740088,45.8249833
USU_0033,primary,22.27,Coast Range,42.9064,-124.32859,0.656081,108.9396,212.9708131,0.893494231,61.83976261,54.31082912
WAECY_0539,primary,18.47,Coast Range,47.971838,-124.328448,1.293759,124.2891,240.884954,0.827877988,47.15073529,84.2569461
WAECY_0537,primary,18.25,Coast Range,47.970168,-124.326048,0.534691,116.199,225.1373227,0.821884477,84.76842443,83.83703818
ORDEQ_0219,primary,18.46,Coast Range,43.24310351,-124.3227454,2.291963,3.8295,95.33776968,0.890008291,80.77555817,80.77555817
ORDEQ_0094,primary,18.02,Coast Range,42.7126858,-124.318103,4.328026,7.4115,414.2678385,0.866747835,96.18700668,96.18700668
ORDEQ_0058,primary,17.66,Klamath Mountains/California High North Coast Range,42.4462442,-124.3164737,11.742426,15.4548,546.4280946,0.82684925,84.58537154,84.58537154
ORDEQ_0239,primary,19.87,Coast Range,43.26887993,-124.3122847,2.142152,2.9052,55.108671,0.794200735,53.2527881,53.2527881
PSSB_0020,primary,16.59,Coast Range,47.947106,-124.308746,2.239144,14.9004,255.0558559,0.761329146,94.28001933,94.28001933
ORDEQ_0095,primary,16.66,Coast Range,42.71660076,-124.3069243,11.689256,2.6352,461.9208675,0.86447081,98.1215847,98.1215847
ORDEQ_0113,primary,21.47,Coast Range,42.80422527,-124.3061368,0.588483,170.6355,241.277506,0.894434728,54.69427058,64.31551465
PSSB_0021,primary,17.13,Coast Range,48.089792,-124.306021,0.970767,13.4748,222.3200112,0.85765303,77.93728223,78.71359872
ORDEQ_0029,primary,17.74,Klamath Mountains/California High North Coast Range,42.14895379,-124.3045816,14.926865,2.5695,358.7939475,0.861896124,60.28021016,60.28021016
USU_0039,primary,21.08,Coast Range,42.80454,-124.30458,0.252377,129.8295,183.6451357,0.89027152,46.43006263,55.64867769
USU_0042,primary,21.87,Klamath Mountains/California High North Coast Range,42.37784,-124.29915,6.945849,34.8453,551.4400012,0.886180166,80.97005692,84.65790221
PSSB_0022,primary,19.6,Coast Range,48.071282,-124.291218,0.739594,38.2995,177.5535006,0.875605331,64.78094428,73.82681236
ORDEQ_0168,primary,17.95,Coast Range,43.02028413,-124.2816204,2.115009,11.7,209.5419309,0.856705837,37.17714834,35.66153846
USU_0047,primary,20,Klamath Mountains/California High North Coast Range,42.38431,-124.27788,4.188837,17.6481,741.6084403,0.886117591,86.59442347,87.82191851
ORDEQ_0183,primary,16.63,Coast Range,43.08793463,-124.2734749,1.552137,13.4505,134.0036661,0.876704855,35.59724019,35.44998327
USU_0049,primary,18.96,Klamath Mountains/California High North Coast Range,42.1758,-124.2722,4.652955,13.4163,423.9216779,0.901134294,81.91829485,82.56523781
ORRF-0115,primary,18.32,Coast Range,42.72616342,-124.2710941,0.898179,71.2638,399.3663677,0.88194083,93.31387973,94.67682049
WAECY_0578,primary,14.83,Coast Range,48.175796,-124.266589,6.361445,4.5216,299.1451154,0.791354141,66.28184713,66.28184713
USU_0050,primary,18.87,Klamath Mountains/California High North Coast Range,42.39245,-124.26484,4.188837,17.6481,741.6084403,0.886117591,86.59442347,87.82191851
ORDEQ_0117,primary,21.38,Coast Range,42.80796367,-124.2624307,0.990229,117.7776,275.1149031,0.88819818,86.41157714,55.25813058
USU_0051,primary,17.99,Klamath Mountains/California High North Coast Range,42.4016,-124.2572,4.264943,4.6044,836.5277189,0.886331988,87.4511337,87.4511337
WAECY_0535,primary,17.42,Coast Range,47.96215,-124.25596,2.055045,20.1177,299.7595986,0.874572771,98.86621315,98.26421509
PSSB_0024,primary,16.44,Coast Range,48.217861,-124.253111,0.415335,37.4112,104.8629302,0.836488518,68.83156297,81.50981524
WAECY_0592,primary,17.15,Coast Range,48.247844,-124.252181,0.517374,67.4244,37.32302768,0.831895156,43.88696655,72.81622083
PSSB_0027,primary,20.24,Coast Range,47.952821,-124.243506,0.841606,79.9074,294.5111298,0.876984525,96.6303132,89.91845561
ORDEQ_0172,primary,20.68,Coast Range,43.03956856,-124.2381691,1.33738,5.5755,129.5222163,0.883926927,25.60129136,25.60129136
USU_0057,primary,18.01,Klamath Mountains/California High North Coast Range,42.38812,-124.23732,4.849899,5.652,835.8834538,0.903490338,89.72929936,89.72929936
PSSB_0029,primary,16.75,Coast Range,48.066185,-124.234594,0.890728,46.9521,186.9760539,0.869185127,51.98098257,88.80369568
USU_0060,primary,17.46,Klamath Mountains/California High North Coast Range,42.40943343,-124.2302442,4.264943,4.6044,836.5277189,0.886331988,87.4511337,87.4511337
WAECY_0463,primary,17.12,Coast Range,47.6567,-124.22219,1.335133,24.3207,217.8834541,0.846250697,89.62833914,89.54224179
WAECY_0560,primary,18,Coast Range,48.062803,-124.219437,0.634832,332.9496,240.9213268,0.853248969,68.23464305,88.54880739
ORDEQ_0166,primary,20.55,Coast Range,43.00006512,-124.2191744,0.555555,42.0534,105.5768291,0.821194545,64.17295813,57.07314985
ORDEQ_0149,primary,17.54,Coast Range,42.94138459,-124.2089915,4.217699,9.8784,254.9633245,0.87400578,58.46392128,58.46392128
